,0
Body Type,1.121649553011958
Sex,0.50002451185044
How Often Shower,1.1183211766864978
Heating Energy Source,1.1193834070241433
Transport,0.8188088939432148
Vehicle Type,1.6100322544552745
Social Activity,0.8200558268532027
Monthly Grocery Bill,72.23401830370527
Frequency of Traveling by Air,1.1179064010336486
Vehicle Monthly Distance Km,2769.715596925056
Waste Bag Size,1.120321271767638
Waste Bag Weekly Count,1.9903745876341825
How Long TV PC Daily Hour,7.106368510522189
How Many New Clothes Monthly,14.698725259437465
How Long Internet Daily Hour,7.277217667467513
Energy efficiency,0.8085017733510005
CarbonEmission,1017.6752465759689
Glass,0.5000205916351811
Metal,0.5000029102825793
Paper,0.5000197115826892
Plastic,0.50002491187067
Airfryer,0.5000243618427356
Grill,0.5000243618427356
Microwave,0.4999717063702419
Oven,0.499999999999993
Stove,0.5000081907519744
pescatarian,0.43610762316871077
vegetarian,0.43052299009982076
omnivore,0.43257146439306043
vegan,0.4328610017831516
